Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State,Company Age (years),Title Grouping,Seniority Level
Audio Visual Engineer - Information Technology Consultant - Career,60 ,60,60000 ,4.2,California State University,"San Francisco, CA",10000+ Employees,1962.0,College / University,Colleges & Universities,Education,$10+ billion (USD),0,60000 ,San Francisco,CA,60.0,engineer,na
Audio Visual Systems Engineer,38 ,82,55582 ,3.0,Riverside EpiCenter,"Austell, GA",Unknown,,Company - Public,,,Unknown / Non-Applicable,0,55582 ,Austell,GA,,engineer,na
Senior Audio-Visual Systems Engineer,50 ,90,66808 ,4.2,Sacred Heart University,"Fairfield, CT",501 to 1000 Employees,1963.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,66808 ,Fairfield,CT,59.0,engineer,senior
Sneaky Big Studios - Audio Engineer,40 ,85,57992 ,1.9,Yam Worldwide,"Scottsdale, AZ",501 to 1000 Employees,2010.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,57992 ,Scottsdale,AZ,12.0,engineer,na
Audio Visual Engineer,60 ,70,65000 ,3.3,First Baptist Church of Glenarden,"Landover, MD",51 to 200 Employees,1917.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$10 to $25 million (USD),0,65000 ,Landover,MD,105.0,engineer,na
Audio Visual (AV) Post Engineer,39 ,79,55858 ,3.6,Golden Star Technology,"Cerritos, CA",51 to 200 Employees,1985.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,55858 ,Cerritos,CA,37.0,engineer,na
Freelance Audio Engineer I,29 ,56,40427 ,4.7,Cory's Audio Visual,"Oklahoma City, OK",1 to 50 Employees,1953.0,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,0,40427 ,Oklahoma City,OK,69.0,engineer,na
Audio Visual Design Engineer,49 ,79,62092 ,3.1,JSC Systems,"Jacksonville, FL",51 to 200 Employees,1969.0,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable,0,62092 ,Jacksonville,FL,53.0,engineer,na
Coordinator and Audio-Video Engineer,42 ,45,43456 ,4.3,Youngstown State University,"Youngstown, OH",1001 to 5000 Employees,1908.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,43456 ,Youngstown,OH,114.0,engineer,na
Audio-Visual Engineer Tier III,72.8,93.6,40.00 ,3.6,AIS,"Golden, CO",5001 to 10000 Employees,2003.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),1,83200,Golden,CO,19.0,engineer,senior
Audio Visual Engineer,64 ,131,91883 ,3.7,"Cameo Global, Inc","Sunnyvale, CA",501 to 1000 Employees,1994.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,91883 ,Sunnyvale,CA,28.0,engineer,na
Audio & Visual Engineer,32 ,57,42529 ,4.0,Oral Roberts University,"Tulsa, OK",1001 to 5000 Employees,1963.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,42529 ,Tulsa,OK,59.0,engineer,na
Audio Visual Design Engineer,55 ,107,76622 ,4.0,PEC Solutions LLC,"Las Vegas, NV",1001 to 5000 Employees,,Company - Private,,,Unknown / Non-Applicable,0,76622 ,Las Vegas,NV,,engineer,na
Audio Visual Technicians Sought,30 ,52,39354 ,4.5,Rhino Staging,"Las Vegas, NV",501 to 1000 Employees,1991.0,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$50 to $100 million (USD),0,39354 ,Las Vegas,NV,31.0,technician,na
Audio Visual Field Engineer,60 ,100,80000 ,,Digital Labor Solutions,"Boston, MA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,80000 ,Boston,MA,,engineer,na
Audio Visual Field Engineer,34 ,65,47005 ,3.1,VIDEO REALITY INC,"Oklahoma City, OK",1 to 50 Employees,1993.0,Company - Private,Consumer Electronics & Appliances Stores,Retail & Wholesale,Unknown / Non-Applicable,0,47005 ,Oklahoma City,OK,29.0,engineer,na
A/V Project Manager / Systems Design Engineer - Low Voltage Audio Video,60 ,80,70000 ,,In-Focus Systems,United States,,,,,,,0,70000 ,United States,Remote,,engineer,na
R&D Test Engineer,75 ,75,75000 ,,Astronics AES,"Kirkland, WA",,,,,,,0,75000 ,Kirkland,WA,,engineer,na
Audio Visual Technician,68.64,87.36,37.50 ,3.7,NWN Carousel,"Brighton, MI",1001 to 5000 Employees,1986.0,Company - Private,,,Unknown / Non-Applicable,1,76960,Brighton,MI,36.0,technician,na
Lead Audio Visual Engineer,74 ,140,101570 ,4.1,SAIC,"Washington, DC",10000+ Employees,1969.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 million (USD),0,101570 ,Washington,DC,53.0,engineer,senior
AV Service Engineer,80 ,85,82500 ,,Presentation Products Inc,"New York, NY",,,,,,,0,82500 ,New York,NY,,engineer,na
Audio / Visual Support Specialist,31.2,45.76,18.50 ,4.0,Insight Global,"Salt Lake City, UT",1001 to 5000 Employees,2001.0,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),1,37440,Salt Lake City,UT,21.0,Unbinned,na
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,35 ,76,51913 ,3.3,Quantum World Technologies Inc.,"Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,0,51913 ,Baytown,TX,,engineer,na
Information Technology Help Desk Support - Up to $95k,85 ,95,90000 ,,"Recruiting Resources, Inc.","Pasadena, CA",1 to 50 Employees,,Private Practice / Firm,,,Unknown / Non-Applicable,0,90000 ,Pasadena,CA,,Unbinned,na
AV Field Engineer/Audio/Video Technician/Audio Visual Specialist,35 ,76,51913 ,3.3,Quantum World Technologies Inc.,"Baytown, TX",51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,0,51913 ,Baytown,TX,,engineer,na
Audio Visual Technician,62.4,83.2,35.00 ,,Otomashen Inc,"New York, NY",Unknown,,Company - Public,,,Unknown / Non-Applicable,1,72800,New York,NY,,technician,na
Technical Sound Designer,106.08,120.64,54.50 ,4.0,The World's Largest Social Network,"San Diego, CA",1 to 50 Employees,2012.0,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,112320,San Diego,CA,10.0,Unbinned,na
Technical Sound Designer,106.08,120.64,54.50 ,4.0,The World's Largest Social Network,"San Diego, CA",1 to 50 Employees,2012.0,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,112320,San Diego,CA,10.0,Unbinned,na
AUDIO VIDEO SYSTEMS ENGINEER/Jr. CRESTRON PROGRAMMER,80 ,100,90000 ,3.5,State of Washington Legislative Support Services,"Olympia, WA",10000+ Employees,1889.0,Government,State & Regional Agencies,Government & Public Administration,$10+ billion (USD),0,90000 ,Olympia,WA,133.0,engineer,junior
Audio Visual Technician (Sr. Engineer),56 ,105,76944 ,3.9,Edwards Lifesciences,"Irvine, CA",10000+ Employees,1958.0,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,76944 ,Irvine,CA,64.0,engineer,senior
Professional Audio-Visual Systems Engineer,47 ,82,62446 ,3.4,TRITECH,"Garden City, NY",1 to 50 Employees,,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD),0,62446 ,Garden City,NY,,engineer,na
Audio-Visual Engineer Tier III,72.8,93.6,40.00 ,3.6,AIS,"Golden, CO",5001 to 10000 Employees,2003.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),1,83200,Golden,CO,19.0,engineer,senior
Coordinator and Audio-Video Engineer,42 ,45,43456 ,4.3,Youngstown State University,"Youngstown, OH",1001 to 5000 Employees,1908.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,43456 ,Youngstown,OH,114.0,engineer,na
