Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,City,State,Company Age (years),Title Grouping,Seniority Level
Data Analyst : 320637,131.04,139.36,135.2,4.5,CorTech,"San Francisco, CA",10000+ Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),1,San Francisco,CA,23,analyst,na
Junior Data Analyst/Data Steward,59 ,125,85.79,4.3,MATRIX Resources,"San Francisco, CA",201 to 500 Employees,1983,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),0,San Francisco,CA,39,analyst,junior
Data Analyst,80 ,110,95.0,4.1,Roc Search,Remote,51 to 200 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),0,Remote,Remote,15,analyst,na
Cybersecurity Analyst (Remote),80 ,130,105.0,3.8,Home Depot / THD,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,Atlanta,GA,44,analyst,na
Business Analyst Work,57 ,117,81.875,4.3,BairesDev,"Los Angeles, CA",1001 to 5000 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,Los Angeles,CA,13,analyst,business
Junior Data Analyst,56.16,66.56,60.32,3.9,Robert Half,"Auburn, MA",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),1,Auburn,MA,74,analyst,junior
Junior Data Analyst/Data Steward,59 ,125,85.683,4.3,MATRIX Resources,"San Francisco, CA",201 to 500 Employees,1983,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),0,San Francisco,CA,39,analyst,junior
Business Data Analyst,67 ,130,93.305,4.3,Intuit - Data,"Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,Mountain View,CA,39,analyst,business
Data and Reporting Analyst,45 ,88,62.646,4.0,Insight Global,"Atlanta, GA",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),0,Atlanta,GA,21,analyst,na
Exciting Data Analyst Job - Direct Hire - Remote,85 ,105,95.0,4.2,The HT Group,"Carolina, PR",1 to 50 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD),0,Carolina,PR,21,analyst,na
Data Quality Analyst/Documentation Specialist,60 ,110,81.41,3.5,TargetCW,"Mountain View, CA",51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,$500 million to $1 billion (USD),0,Mountain View,CA,13,analyst,na
Data Analyst,62.4,83.2,72.8,3.9,"Spherion Gainesville, FL","Gainesville, FL",10000+ Employees,1946,Franchise,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,Gainesville,FL,76,analyst,na
Data Analyst,50 ,101,71.013,4.0,Insight Global,"Stamford, CT",1001 to 5000 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $50 million (USD),0,Stamford,CT,21,analyst,na
Saybrus Partners- Data Reporting Analyst,50 ,60,54.815,3.7,Saybrus Partners,Remote,51 to 200 Employees,2010,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),0,Remote,Remote,12,analyst,na
Data Specialist,34 ,64,46.279,3.5,Kelly,"Irvine, CA",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),0,Irvine,CA,76,specialist,na
Data Analyst,70 ,95,82.5,4.0,Seneca Resources,"Kennesaw, GA",51 to 200 Employees,2010,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD),0,Kennesaw,GA,12,analyst,na
Data Analyst,70 ,70,70.0,4.5,Solu Technology Partners,"Tempe, AZ",201 to 500 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,Tempe,AZ,27,analyst,na
Data Analyst,45 ,79,59.49,4.1,Fourteen Foods,"Eden Prairie, MN",5001 to 10000 Employees,2002,Franchise,Restaurants & Cafes,Restaurants & Food Service,$100 to $500 million (USD),0,Eden Prairie,MN,20,analyst,na
Reporting Analyst,66.56,66.56,66.56,3.5,Kelly,"Chicago, IL",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),1,Chicago,IL,76,analyst,na
Data Analyst,62.4,83.2,72.8,4.3,Internal Data Resources,Remote,201 to 500 Employees,1998,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD),1,Remote,Remote,24,analyst,na
Retail Floor Plan Analyst Planograms,52.0,56.16,54.08,3.8,Bay State Search,Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),1,Remote,Remote,20,analyst,na
Data Analyst,57 ,70,63.5,3.5,Planned Parenthood Metropolitan NJ,"Newark, NJ",501 to 1000 Employees,1916,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$100 to $500 million (USD),0,Newark,NJ,106,analyst,na
Quality Data Analyst,65 ,117,87.235,3.6,TikTok,"Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,Mountain View,CA,6,analyst,na
Assoc Data Analyst,62 ,127,88.698,3.3,Disney Streaming,"San Francisco, CA",501 to 1000 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,San Francisco,CA,4,analyst,na
Data Analyst,48 ,79,63.65,4.1,S&P Global,Remote,10000+ Employees,1888,Company - Public,Research & Development,Management & Consulting,$5 to $10 billion (USD),0,Remote,Remote,134,analyst,na
Data Analyst Associate,56 ,84,70.0,3.9,General Dynamics Information Technology,Remote,10000+ Employees,1996,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,Remote,Remote,26,analyst,na
Research Data Analyst I - JC-310561,46 ,71,58.11,2.9,Department of Industrial Relations,"San Francisco, CA",1001 to 5000 Employees,1927,Government,State & Regional Agencies,Government & Public Administration,$500 million to $1 billion (USD),0,San Francisco,CA,95,analyst,na
Research Data Analyst,46 ,91,64.978,4.4,Stanford University,"Stanford, CA",10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),0,Stanford,CA,131,analyst,na
Data Analyst,64 ,120,87.765,3.9,Hulu,"Santa Monica, CA",1001 to 5000 Employees,2007,Company - Private,Broadcast Media,Media & Communication,$1 to $2 billion (USD),0,Santa Monica,CA,15,analyst,na
Data Analyst Specialist,66.56,87.36,76.96,3.3,Infosys BPM Limited,"Chesterbrook, PA",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),1,Chesterbrook,PA,41,analyst,na
Junior Business Analyst,47 ,117,81.773,3.9,Genpact,"Atlanta, GA",10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),0,Atlanta,GA,25,analyst,junior
Data Analyst,38 ,78,54.2,3.5,Kelly,"Columbia, SC",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),0,Columbia,SC,76,analyst,na
Data Analyst,51 ,93,68.684,3.9,PepsiCo,"Plano, TX",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,Plano,TX,57,analyst,na
"Data Analyst, Retirement Programs",57 ,121,82.966,3.8,Paramount,"New York, NY",10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,New York,NY,3,analyst,na
"Business Analyst, Associate",44 ,90,63.006,4.1,Blue Shield of California,"Rancho Cordova, CA",5001 to 10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),0,Rancho Cordova,CA,83,analyst,business
